"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
230;"Zypheria XIV";1265;1.31;0.915;unknown;"mountain, ice canyon, cityscape, plateau, plain";"frozen, arid, frigid"
231;"Xamidimura Dionysios";3195;5.95;1.008;1.81;"ocean";"superheated, artic, artificial temperate, humid, arid"
232;"Xamidimura Nymphios";3195;1.54;1.205;1.09;"jungle, ice cave, reef, lakes, island";"subartic, tropical, humid"
233;"Ryusei XIX";1591;1.59;0.895;1.21;"rocky desert, plateau";"artificial temperate, arid, humid, temperate"
234;"Ryusei XXI";1591;1.38;0.813;1.19;"cliff, urban";"frozen, arid, rocky, superheated, subartic"
235;"Ryusei XXII";1591;2.3;0.618;1.55;"glacier, jungle, tundra, mountain, toxic cloudsea";"windy, frozen, frigid, humid"
236;"Ryusei XXIV";1591;5.29;0.588;2.08;"sea, ocean, urban";"subartic, tropical"
237;"Ukiyo's Resonance XI";6195;1.45;1.182;1.07;"lava river";"artic, hot"
238;"Titanic Mirage X";8787;5.32;0.941;1.78;"rocky desert, savanna";"tropical, hot, rocky, artic, arid"
239;"Hannya's Silence Kappa";3987;4.82;0.579;2.03;"ice canyon, forest, rocky canyon, glacier, rock arche";"frigid, humid, arid, rocky, tropical, superheated, temperate"
240;"Seth's Enigma V";2202;1.05;0.293;1.53;"desert, canyons, rock arche, lakes, rocky canyon, tundra, grassy hill";"frozen, arid, humid, artificial temperate, frigid"
241;"Seth's Enigma IX";2202;7.55;1.194;1.85;"reef, glacier, forest, rainforest, rock arche";"artic, arid, tropical, subartic, windy, hot"
242;"Seth's Enigma XVII";2202;3.38;0.874;1.57;"verdant";"subartic"
243;"Seth's Enigma XIII";2202;4.27;0.474;2.08;"forest, lakes";"rocky, windy, arid, artificial temperate"
244;"Unurgunite San";5770;3.02;0.898;1.5;"tundra";"rocky, tropical, temperate"
245;"Kamuy Artemian";8622;2.6;1.002;1.37;"river";"artificial temperate, subartic, tropical, windy, arid"
246;"Haedus Tertial";6481;0.49;0.891;0.82;"swamp, vine, jungle, desert";"artic, artificial temperate, superheated, arid, humid"
247;"Haedus Quintal";6481;2.52;1.165;unknown;"cityscape, urban";"artificial temperate"
248;"Pollux Undecimal";1249;8.77;1.02;unknown;"barren, lava river, savanna, valley";"temperate, hot, subartic, arid"
249;"Pollux Octal";1249;1.82;0.964;1.24;"lava river, vine, cityscape, acid pool, river";"hot, humid, superheated, artic, temperate"
250;"Isis Threshold Persephonian";1133;2.33;0.641;1.54;"valley, vine, glacier";"humid, windy, frigid"
251;"Kaze Celestial Chi";4578;3.14;0.798;1.58;"hill, savanna, ice cave";"superheated, frozen"
252;"Chalawan Si";4516;8.53;1.008;2.04;"toxic cloudsea, fungus forest, cliff, reef, ice canyon, field, sea";"tropical, artic, frozen, humid, rocky, artificial temperate"
253;"Chalawan Jiu";4516;1.91;0.901;1.28;"sea";"tropical, windy, arid"
254;"Scarab Expanse Phi";2771;unknown;1.401;0.98;"cliff, valley";"artificial temperate"
255;"Eclipsara Persephonian";6332;2.44;1.141;1.29;"forest, cave";"temperate, arid, windy, hot, artic"
256;"Koeia Alpha";8162;3.22;0.899;1.53;"sea, desert, field, lakes, vine, rainforest";"artificial temperate, frozen, tropical, rocky"
257;"Koeia Psi";8162;5.1;1.171;1.63;"cityscape, ash";"windy, rocky, hot"
258;"Sansuna Si";3206;1.03;1.163;0.96;"desert, river, lava river";"hot, humid"
259;"Sansuna Ba";3206;8.31;0.764;2.22;"sea, cliff";"frigid"
260;"Capella XIII";8235;1.49;1.22;unknown;"vine, plateau, cave";"frozen, rocky, arid, windy"
261;"Keid Apollox";2527;3.53;0.888;1.58;"ice canyon, rocky canyon, valley";"temperate, hot, frigid, windy, tropical"
262;"Axólotl Atlasios";4342;3.9;1.283;1.45;"ice canyon, grassy hill, lakes";"frigid, windy, temperate, artic"
263;"Axólotl Echoian";4342;9.6;1.389;1.9;"mountain";"tropical, frigid"
264;"Axólotl Chimeraean";4342;3.8;1.096;1.51;"forest";"windy, artificial temperate, frigid, subartic"
265;"Nenque Psychean";5240;6.38;0.609;2.19;"plain, urban";"superheated, windy, humid, tropical, artificial temperate"
266;"Nenque Aetherios";5240;1.53;0.926;1.18;"rock arche, verdant, grassland";"frigid, temperate, artic"
267;"Nenque Poseidian";5240;3.25;1.034;1.47;"valley";"humid, rocky, tropical"
268;"Inari's Labyrinth VII";5737;1.57;1.034;1.15;"rock arche, plain, valley";"frigid, subartic"
269;"Inari's Labyrinth I";5737;5.91;1.025;1.79;"valley, cliff";"humid, artic, frigid"
270;"Ombria Undecimal";8771;2.28;0.958;1.33;"acid pool, barren, grassy hill, fungus forest, mountain, glacier";"arid, tropical, humid, frozen"
271;"Ombria Duodecimal";8771;4.81;0.93;1.73;"verdant, ice canyon, sea, lakes, cave";"superheated, tropical, subartic, artic"
272;"Ombria Octal";8771;1.42;1.261;1.04;"island, river, reef, mountain, forest";"temperate, artificial temperate, hot, tropical"
273;"Pulsar Radiance Sigma";4105;2.78;1.288;1.29;"plateau, city, hill";"humid, arid, superheated"
274;"Shogun's Echo Herculean";1763;5.7;0.795;1.93;"ocean, acid pool, bog, mountain, tundra, rocky island, rocky canyon, vine, barren";"frozen, arid, rocky, superheated, subartic, temperate"
275;"Darkonium Pi";5047;1.28;0.725;1.21;"barren, tundra, savanna, river, island, rocky desert, jungle, lakes";"arid, temperate, subartic, windy, frigid, rocky, hot"
276;"Altais Yi";1639;1.34;0.883;unknown;"acid pool, cliff, field, volcano, lakes, desert, rocky canyon";"subartic, windy, temperate, frozen, artificial temperate, hot"
277;"Altais Jiu";1639;2.52;1.335;1.24;"fungus forest, swamp";"tropical"
278;"Bastet's Horizon XXIII";2173;2.98;0.991;1.44;"savanna, ash";"superheated, hot, temperate, windy"
279;"Amatsu Echo Tertial";2290;1.99;1.082;1.23;"lava river";"frozen, superheated, arid, tropical, hot"
280;"Amatsu Echo Decimal";2290;5.03;0.976;unknown;"urban, rocky island, plateau, river, desert";"temperate, artificial temperate, artic, humid, superheated, tropical"
281;"Beemim Psi";8822;2.13;1.104;1.25;"rocky island, grassy hill";"humid"
282;"Luminous Nexus Chimeraean";1633;3.04;0.591;1.73;"tundra, canyons, rainforest, volcano";"humid, rocky, frigid, superheated"
283;"Luminous Nexus Harpian";1633;4.37;0.575;1.97;"reef, acid pool, island, cliff";"humid, artic, artificial temperate, subartic, superheated"
284;"Cursa Sextant";2605;0.53;1.648;0.69;"glacier, savanna, rocky desert, mountain";"subartic, superheated, hot, frozen"
285;"Cursa Octal";2605;1.94;0.808;1.34;"cave, jungle, city";"hot, frigid"
286;"Celestial Ember Qi";8775;2.02;1.246;1.17;"city";"rocky"
287;"Celestial Ember Wu";8775;5.85;1.312;1.65;"lava river";"artic, frozen, humid, subartic, hot, rocky"
288;"Celestial Ember San";8775;4.55;0.611;1.95;"sea, rainforest, ash, rocky island, cave, island";"frigid, superheated, subartic, rocky"
289;"Procyon Chi";2394;1.25;1.344;0.98;"verdant, urban, rock arche";"windy, humid, hot, rocky"
290;"Procyon Psi";2394;1.55;1.015;1.15;"river, sinkholes, toxic cloudsea, rocky desert";"artic, superheated, arid"
291;"Procyon Alpha";2394;3.55;0.517;unknown;"reef, rainforest";"humid, temperate, artic"
292;"Igniflux XIX";8103;0.8;1.305;0.85;"ice canyon, mountain";"rocky, artic, windy"
293;"Igniflux X";8103;6.37;0.622;2.17;"grassland";"hot, temperate, artic, superheated, humid"
294;"Porrima Pi";474;1.49;0.774;unknown;"sinkholes, bog";"tropical, hot, temperate, rocky"
295;"Sadalmelik Nonal";8540;0.41;1.147;0.71;"vine, lakes";"artificial temperate"
296;"Eltanin Liu";484;8.23;1.162;1.92;"river, glacier, plateau, tundra";"humid, artic, tropical"
297;"Mirach Hadean";7711;2.82;0.978;1.42;"field";"subartic, artificial temperate, humid"
298;"Astrum Cryptic Octal";3835;2.05;0.858;1.34;"urban, tundra, valley, ice cave, sea";"windy, frozen, subartic, frigid"
299;"Astrum Cryptic Undecimal";3835;8.61;0.775;2.23;"plateau, mountain, plain, rocky island, canyons, cliff, field";"arid, artificial temperate, subartic, rocky, frigid, hot"
300;"Astrum Cryptic Sextant";3835;1.89;0.817;1.32;"canyons";"subartic, tropical, artificial temperate"
301;"Nahn Gaian";2486;1.73;1.358;1.08;"island, vine, tundra";"humid, frozen"
302;"Kōri Resonance Prime";4673;3.01;1.418;1.29;"verdant";"superheated, humid, artic, arid, artificial temperate, subartic, frigid"
303;"Rasalas Delta";4600;2.84;0.876;1.48;"cliff, desert";"rocky"
304;"Rasalas Omicron";4600;9.7;0.877;2.23;"urban, rock arche";"subartic"
305;"Rasalas Theta";4600;4.84;1.152;1.61;"toxic cloudsea, ice cave";"rocky, frozen"
306;"Rasalas Mu";4600;7.17;1.267;1.78;"toxic cloudsea, desert, vine, grassland, sinkholes";"hot, temperate, frozen"
307;"Dalim Harpian";2890;5.59;0.882;1.85;"island, ice cave, lava river, ocean, valley, sea";"superheated, artic, tropical, windy, subartic, artificial temperate, frozen"
308;"Isis' Labyrinth Museios";5762;0.71;1.178;0.84;"ice canyon, rocky desert, island, toxic cloudsea, cityscape";"artic, artificial temperate, subartic, frigid"
309;"Ebon Cosmos Eosian";3578;2.89;0.824;1.52;"plateau, urban";"arid"
310;"Sakura's Silence XXIV";4733;2.25;1.213;1.23;"field, verdant, plateau, desert, grassland, bog";"tropical, artificial temperate, subartic, hot, temperate, frigid, arid"
311;"Sakura's Silence XVIII";4733;0.85;1.233;0.88;"hill, plateau";"artificial temperate, windy, subartic, hot, humid"
312;"Kawa Enigma Beta";3406;1.78;0.411;1.63;"field, savanna";"superheated, hot"
313;"Kawa Enigma Mu";3406;1.62;1.069;1.15;"rainforest, plain";"windy, subartic, artificial temperate, superheated, arid, rocky, humid"
314;"Amansinaya Harpian";3034;unknown;0.792;2.05;"sea, cliff";"superheated, tropical"
315;"Sterrennacht Wu";9386;1.26;1.172;1.02;"forest, plateau";"artic, frozen, humid, temperate"
316;"Shogun's Loom Cerberian";2230;7.6;0.972;1.98;"jungle, jungle";"temperate, tropical, windy, humid"
317;"Shogun's Loom Selenean";2230;1.76;1.221;1.13;"tundra, city";"artic"
318;"Khambalia Sextant";4654;1.16;1.254;0.97;"ocean, verdant, sinkholes, fungus forest, swamp";"hot, artic, rocky, humid, superheated, arid"
319;"Khambalia Quintal";4654;0.67;0.922;0.9;"sea, glacier, ice canyon, canyons, vine, savanna";"subartic, artificial temperate, arid, frigid"
320;"Khambalia Secant";4654;7.76;1.303;1.81;"ice canyon, cityscape, river, vine, tundra, plateau";"windy, frozen, artificial temperate, arid, frigid"
321;"Khambalia Duodecimal";4654;1.62;0.623;1.38;"ice cave, ice canyon, vine, fungus forest";"windy, arid, rocky, humid, artic"
322;"Cassioflux XI";533;2.18;0.967;1.31;"lava river, grassland, mountain";"hot, tropical, frigid, temperate"
323;"Cassioflux XX";533;2.83;0.792;1.53;"volcano, forest, mountain, sea, lakes, plateau, fungus forest";"hot, rocky, superheated, subartic, temperate"
324;"Cassioflux XXIII";533;3.94;1.28;1.45;"fungus forest, valley, rock arche, city, field, jungle";"frigid, humid, artificial temperate, windy, superheated, tropical, arid"
325;"Zenithariana XXIV";833;8.02;0.695;2.26;"lava river, hill";"frozen, arid, subartic, rocky, frigid"
326;"Nebulith Septimal";5598;5.48;0.839;1.87;"ash, plateau, volcano, rock arche, rocky canyon";"arid, superheated, frozen"
327;"Nebulith Sextant";5598;1.1;1.185;0.98;"cave, jungle, fungus forest, bog, rocky desert, acid pool";"hot, temperate, arid, humid, tropical"
328;"Hatysa XVI";2036;0.62;0.932;0.87;"ash, plain, verdant, lava river, rock arche";"frigid, subartic, superheated"
329;"Hatysa XXII";2036;unknown;0.753;0.88;"desert, ice canyon, island";"tropical, hot, artificial temperate, frigid"
330;"Tamashī Labyrinth Kappa";4341;6.14;1.185;1.73;"ice canyon, city, lava river, desert, cliff, rock arche, rainforest, field, valley, tundra, glacier";"frozen, superheated, frigid, artificial temperate, artic, rocky, temperate"
331;"Tamashī Labyrinth Pi";4341;4.76;0.989;1.69;"ice cave";"rocky, windy, artificial temperate, humid, artic"
332;"Tamashī Labyrinth Omicron";4341;5.39;0.947;1.79;"ocean";"rocky, hot"
333;"Tamashī Labyrinth Theta";4341;3.03;0.717;1.62;"savanna, sinkholes, volcano";"windy, temperate, superheated"
334;"Kurhah Gaian";5867;2.39;1.137;1.28;"urban, canyons, sea, fungus forest";"rocky, humid, arid"
335;"Tapecue Athenian";8477;6.1;0.683;2.08;"savanna, swamp, canyons";"subartic, tropical, temperate"
336;"Sceptrum IV";2868;unknown;0.9;1.23;"ocean";"humid, frozen, arid, rocky"
337;"Sceptrum XXIII";2868;1.05;1.233;0.95;"lakes";"temperate, windy, frigid, artic, hot"
338;"Lilii Borea Aphroditos";2620;1.21;0.944;1.09;"acid pool, forest, hill";"artificial temperate, humid"
339;"Aljanah Morphean";5268;2.58;1.396;1.23;"cliff, mountain, jungle";"windy, superheated, hot"
340;"Aljanah Hecatean";7964;6.86;1.035;1.88;"acid pool, island, field, grassy hill, cave, lakes";"tropical, subartic, artic, humid, superheated"
341;"Atakoraka Ba";9693;4.27;1.293;1.49;"valley, grassy hill, lava river";"arid, artic, superheated, temperate, frigid"
342;"Vortexarian Olympus";1392;0.44;1.31;0.7;"hill, rocky canyon, lakes, forest, urban";"frozen, artificial temperate, hot, tropical, temperate, frigid, subartic"
343;"Zephyrianix Ba";1875;3.08;0.62;unknown;"barren, reef";"frozen, artificial temperate, superheated, arid, hot"
344;"Zephyrianix San";1875;7;1.495;1.67;"grassy hill, canyons";"artic, subartic, hot, humid"
345;"Zephyrianix Si";1875;4.58;1.325;1.51;"rainforest, forest, rocky canyon, verdant, toxic cloudsea, reef";"temperate, artic, hot, humid"
346;"Aldhibah Pi";4010;1.84;0.928;1.26;"rock arche, glacier, rocky canyon";"subartic, frigid, arid, rocky"
347;"Aldhibah Omega";4010;6.51;1.107;1.81;"river, urban, verdant, ice cave, grassy hill";"artificial temperate, subartic, rocky"
348;"Aldhibah Lambda";4010;5.34;0.99;1.75;"rock arche";"frigid, artificial temperate, temperate, subartic"
349;"Aldhibah Psi";4010;unknown;0.805;1.73;"city";"tropical"
350;"Bosona Qi";7493;7.89;0.956;2.02;"urban, rock arche, rainforest, vine, river";"frigid, windy, rocky, tropical, arid, artificial temperate, superheated"
351;"Bosona Er";7493;2.44;0.754;1.48;"cityscape";"windy, frozen, arid, subartic, frigid, temperate, rocky"
352;"Mirfak Si";4377;3.07;0.609;1.71;"jungle, plateau, ice canyon, ocean, lakes, city, rocky canyon, ash, river";"subartic, superheated, frigid, artificial temperate, humid, tropical"
353;"Mirfak San";4377;1.56;1.283;1.07;"forest, valley";"artic, temperate, subartic, tropical"
354;"Cosmoflare Nu";7661;8.2;1.226;1.88;"cave, verdant";"hot, tropical, subartic, temperate, humid"
355;"Tsuki's Beacon XII";8886;5.58;0.927;1.82;"mountain, jungle, forest";"tropical, humid"
356;"Radiara Eosian";893;8.81;1.191;1.95;"plateau, river, ash";"windy, frozen, tropical, artic, superheated"
357;"Musica Sirenios";50;5.44;1.341;1.59;"jungle, vine, ocean, volcano, ice canyon";"arid, artificial temperate, frozen, frigid, temperate, subartic, superheated"
358;"Ronin's Cascade XXI";182;1.36;1.103;1.07;"city, hill, canyons";"frozen, superheated, windy, arid"
359;"Titanium Quasar Wu";9318;2.93;1.296;1.31;"river, city";"rocky, windy, tropical"
360;"Titanium Quasar Er";9318;1.56;0.986;1.17;"rock arche";"hot, tropical, superheated, arid"
361;"Kasumi Jiu";7866;3.93;1.467;unknown;"ash, mountain";"rocky, humid, superheated, windy, arid, tropical"
362;"Kasumi San";7866;2.74;0.976;1.41;"ash, acid pool";"windy, superheated"
363;"Kasumi Qi";7866;0.9;1.187;0.91;"plateau, acid pool, vine";"subartic, superheated, frozen, temperate"
364;"Kasumi Shi";7866;unknown;1.012;1.33;"rocky island, grassland, rainforest";"arid, temperate, humid, frigid, frozen"
365;"Stellarnova Cerberian";5042;2.66;1.319;1.26;"hill, cliff, lakes";"tropical, frigid"
366;"Stellarnova Typhonian";5042;1.52;1.22;1.08;"grassland";"humid, frozen, superheated"
367;"Stellarnova Asclepian";5042;2.96;1.189;1.36;"field";"rocky, artic, hot, tropical, humid, superheated, arid"
368;"Hathor's Labyrinth Pi";5089;5.77;1.292;1.65;"urban, fungus forest, glacier, vine, cliff, jungle";"rocky, frigid, temperate, humid"
369;"Hathor's Labyrinth Upsilon";5089;3.02;0.918;1.49;"cave, jungle";"rocky, hot, frozen, subartic, superheated"
370;"Hathor's Labyrinth Chi";5089;8.14;1.054;1.98;"savanna, field, ash, jungle, rock arche";"superheated, tropical, artic"
371;"Selene's Whimsy Er";7149;1.79;1.399;1.09;"cliff, island";"windy, tropical, subartic"
372;"Selene's Whimsy Jiu";7149;2.43;0.954;1.37;"lakes, mountain, plateau";"arid, artificial temperate, windy"
373;"Selene's Whimsy Ba";7149;1.4;1.309;1.02;"jungle, urban, river";"frigid, tropical, windy"
374;"Selene's Whimsy Wu";7149;0.57;0.866;0.87;"urban";"rocky, artificial temperate"
375;"Mira IV";722;1.54;0.836;1.23;"valley, island";"artic, arid, windy, artificial temperate"
376;"Mira IX";722;1.68;1.105;1.15;"jungle, rock arche, grassland";"humid, subartic, artic"
377;"Giausar Janusian";1686;1.17;0.67;1.2;"sinkholes, forest, savanna";"superheated, frigid, arid, tropical"
378;"Giausar Selenean";1686;2.23;1.188;1.23;"desert, grassland, island, jungle, tundra";"frigid, artificial temperate, subartic, tropical, temperate, hot"
379;"Amun-Ra Mirage Liu";8302;0.44;1.064;0.75;"scrubland, verdant, urban, hill, savanna";"arid, artificial temperate, humid, windy, tropical, hot"
380;"Amun-Ra Mirage San";8302;0.75;1.212;0.85;"volcano, plateau";"arid, subartic"
381;"Spica Hecatean";6385;8.2;0.7;2.27;"rocky desert";"arid"
382;"Spica Orphean";6385;5.15;0.979;1.74;"bog, savanna";"temperate, frigid, superheated, rocky, tropical"
383;"Spica Olympios";6385;1.75;0.973;1.22;"canyons, rocky desert, island, urban, hill";"rocky, artic, tropical"
384;"Ain Liu";8898;0.72;1.167;0.85;"lava river, ash, reef, cityscape, city";"frigid, tropical, superheated"
385;"Thuban Shi";5315;0.69;1.246;0.82;"rock arche";"temperate, rocky, artic, superheated, hot"
386;"Ma'at's Silence XIII";6249;1.34;0.825;1.18;"tundra, fungus forest, reef, cityscape, plateau, acid pool, island, rock arche";"artic, frozen, temperate, arid, windy, hot"
387;"Nebula Nova XV";4216;4.42;0.985;1.65;"sinkholes, lava river";"arid, hot"
388;"Nebula Nova IV";4216;9.81;1.037;2.11;"reef, sea, plain, glacier, verdant, rock arche";"artic, rocky, superheated, frigid"
389;"Nebula Nova XXII";4216;7.27;1.066;1.9;"hill, swamp, sinkholes, rainforest";"hot, artic, artificial temperate, humid"
390;"Nebula Nova IX";4216;5.35;0.779;1.9;"bog, volcano, sea, jungle, desert, urban, rocky desert, savanna";"humid, frigid, windy, artificial temperate, temperate, subartic, superheated"
391;"Pulsar Seraph Cerberian";9957;0.8;1.091;0.9;"bog";"arid, subartic, hot"
392;"Quasarionix Vigesimal";2524;0.53;0.451;1.06;"acid pool, reef, rocky island, cliff";"hot, frozen, artificial temperate"
393;"Inari's Threshold II";3681;0.97;1.227;0.92;"urban, forest, rocky canyon, rock arche, ice cave";"humid, rocky, artificial temperate, windy, hot, frigid, temperate"
394;"Errai Herculean";8872;1.79;1.271;1.12;"swamp";"frozen, tropical, rocky"
395;"Nebulionara Er";8620;unknown;0.766;1.95;"jungle, ice cave, cave, verdant, rainforest, mountain";"tropical, frozen, temperate, arid"
396;"Nebulionara Liu";8620;unknown;0.521;0.95;"plateau";"frozen, hot, windy"
397;"Nebulionara Yi";8620;1.44;0.843;1.2;"savanna";"tropical, windy, humid, artic"
398;"Ceibo Quintal";5557;6.08;0.641;2.12;"lava river, cityscape, city, reef";"subartic, rocky, hot, humid, artic, arid"
399;"Ceibo Undecimal";5557;7.12;0.923;1.98;"toxic cloudsea, plain, acid pool, rocky desert";"rocky, artificial temperate, subartic, artic, frigid, temperate"
400;"Luminous Wraith Eta";1732;5.13;1.083;1.68;"acid pool, mountain";"frigid, humid"
401;"Cosmic Shadows XX";2417;9.33;1.206;1.98;"sea, plateau";"hot, frozen, artic"
402;"Rastaban Septimal";2204;7.59;1.444;1.74;"jungle, sinkholes, island, ocean, plain";"humid, subartic, arid, temperate, superheated"
403;"Rastaban Octal";2204;0.86;0.353;1.35;"glacier";"subartic, temperate, tropical, frozen, artic, arid"
404;"Rastaban Quintal";2204;1.53;1.101;1.12;"ocean";"windy, humid, frigid, tropical"
405;"Elnath Irisian";7818;3.33;0.646;1.73;"grassland, jungle, mountain, desert, forest";"superheated, frigid, temperate"
406;"Elnath Nymphios";7818;3.82;1.04;1.54;"cave, ash, urban, plain";"subartic, superheated, frigid"
407;"Elnath Nereidos";7818;6.75;0.938;1.93;"urban, lakes, mountain, verdant, plateau";"rocky, artificial temperate, arid"
408;"Caelus Cipher Octal";4540;2.1;1.313;1.17;"sea, river, canyons, rock arche, valley";"artificial temperate, frozen, temperate"
409;"Caelus Cipher Sextant";4540;3.58;1.138;1.47;"valley, canyons";"tropical, rocky, temperate, humid, artic"
410;"Elysian Nebula Olympus";3230;1.46;0.821;1.21;"desert, mountain, ice cave, cave";"artic, rocky, subartic"
411;"Kaus Borealis Ba";1981;unknown;0.991;0.92;"cityscape, jungle, plateau, ocean, ice cave";"artic, superheated, tropical, windy"
412;"Kaus Borealis Jiu";1981;5.41;1.017;1.75;"jungle, rainforest, fungus forest, urban, ice cave";"artic, windy, superheated, subartic, frozen, hot"
413;"Mjornir Dionian";8673;6.11;1.236;1.7;"jungle, field, grassy hill, hill, plain, mountain";"windy, temperate, arid, artificial temperate, superheated"
414;"Mjornir Astraeos";8673;5.37;0.761;1.92;"plateau";"artic, windy"
415;"Skat Echoian";8191;0.51;1.012;0.8;"valley";"hot, artificial temperate, frigid"
416;"Photara Octal";3356;0.87;1.203;0.9;"reef, forest, ocean";"temperate, superheated, frigid"
417;"Photara Duodecimal";3356;5.1;0.958;1.75;"urban, acid pool, rock arche, sinkholes, fungus forest";"hot, tropical, arid, windy"
418;"Photara Quintal";3356;4.65;1.105;1.61;"rocky desert, ash, island, forest, lakes, plain, sea, jungle, volcano, savanna";"arid, artic, superheated, frozen, humid, hot, rocky"
419;"Samurai's Ember XIII";3516;6.02;0.982;1.83;"savanna, tundra, sea, rocky canyon, cityscape, swamp, reef, forest, field";"artificial temperate, frigid, subartic, rocky, tropical, temperate"
420;"Samurai's Ember V";3516;3.14;0.879;1.53;"lakes, canyons";"windy, artic, superheated"
421;"Samurai's Ember XI";3516;5.26;1.502;1.52;"mountain, island, hill, savanna";"tropical, frigid, frozen, humid"
422;"Samurai's Ember IV";3516;1.03;0.862;1.06;"tundra, plateau, hill, verdant, island, urban, ocean";"tropical, humid, temperate, rocky, artic, windy"
423;"Anubis' Echo V";470;6.14;0.999;1.83;"river";"superheated, tropical"
424;"Fuji Nebula Quartal";6100;1.94;1.26;1.15;"forest, plain, ocean, sea";"hot, rocky, temperate, superheated"
425;"Anadolu Pi";838;3;1.002;1.44;"cave, plain";"frozen, frigid, artic, temperate"
426;"Arkab Prior Gamma";8784;0.99;0.937;1.02;"lakes, savanna, lava river";"subartic, superheated, hot, humid, tropical"
427;"Menkent Janusian";3947;7.08;0.901;1.99;"city, grassy hill, ice canyon, rock arche, sinkholes";"humid, frozen, superheated, artic, hot"
428;"Yed Prior Olympios";6012;2.16;1.227;1.21;"canyons, ice canyon, tundra, sinkholes";"subartic, rocky, artificial temperate, superheated, arid"
429;"Ma'at's Cascade Qi";7290;unknown;1.218;1.26;"lava river, grassy hill, tundra, cityscape";"temperate, artificial temperate, frigid, superheated"
430;"Ma'at's Cascade San";7290;2.21;1.129;1.25;"ocean";"windy, rocky, frigid"
431;"Cassioth Upsilon";7159;2.37;1.038;1.32;"urban, plateau, rocky canyon, field, river";"tropical, artificial temperate, subartic, temperate"
432;"Cosmara Xi";7268;2.4;0.955;1.36;"ice cave, glacier, cave, forest, jungle";"subartic, rocky, artic, frozen, superheated"
433;"Cosmara Zeta";7268;5.11;1.375;unknown;"lakes, urban, bog";"arid, humid, superheated, frigid, hot"
434;"Cosmara Eta";7268;5.18;0.688;1.96;"mountain, hill";"rocky, subartic"
435;"Cosmara Upsilon";7268;6.9;1.065;1.86;"savanna, grassland, valley, reef, cityscape, island";"artic, arid, humid, artificial temperate"
436;"Yugen Demetrian";9736;2.06;1.004;1.27;"lava river";"tropical, superheated, windy"
437;"Felixvarela Tau";9628;1.62;1.118;1.13;"jungle";"superheated, rocky, tropical, windy, subartic"
438;"Felixvarela Psi";9628;0.91;0.634;unknown;"field, plateau, ocean, canyons, cave";"humid, arid, hot"
439;"Felixvarela Zeta";9628;8.41;0.799;2.19;"ice cave, sea, plain, island, reef";"tropical, windy, artic, frozen, frigid, subartic"
440;"Alterf Selenean";8916;2.13;0.847;1.36;"sinkholes, ice cave, toxic cloudsea";"tropical, windy, superheated, artic"
441;"Alterf Atlasios";8916;8.96;1.126;2;"sea, reef";"tropical, temperate, subartic"
442;"Alterf Irisian";8916;3.09;0.878;1.52;"sinkholes, cliff, tundra";"windy, superheated, rocky, frozen"
443;"Alterf Museios";8916;2.08;1.09;1.24;"desert";"hot, artic, frigid, subartic, windy"
444;"Ra's Echo Centaurios";6919;7.04;1.345;1.74;"sea, valley";"temperate, rocky, tropical, hot, frozen"
445;"Tupi Shi";4828;8.74;1.395;1.84;"city";"rocky, temperate"
446;"Tupi Si";4828;0.87;0.758;1.05;"lakes, grassland";"temperate, superheated, artificial temperate"
447;"Alkalurops Nymphios";5650;8.31;0.922;2.08;"toxic cloudsea, bog, cave, ice cave, hill";"frigid, artic, temperate"
448;"Pincoya Nemesisian";3748;1.42;0.892;1.17;"canyons, lava river, city, jungle, field, hill";"artificial temperate, windy, rocky, temperate, arid, hot"
449;"Whalecaller Er";2571;1.62;0.974;1.18;"ocean";"humid, hot, arid"
450;"Whalecaller Ba";2571;2.64;0.753;1.52;"rocky desert, savanna, reef, forest, ash";"windy, humid, hot, temperate"
451;"Ankh Seraph Omega";7596;1.32;1.429;0.97;"volcano";"windy, frigid, tropical, superheated, arid, rocky"
452;"Eclipsix Er";5385;3.15;1.062;1.44;"city, field, mountain, fungus forest";"frigid, subartic, humid"
453;"Brimwarden Shi";9440;8.94;1.073;2.03;"jungle, ice cave, hill";"frigid, frozen, hot"
454;"Brimwarden Jiu";9440;unknown;1.084;1.22;"rock arche, savanna, city";"superheated, windy, hot, frozen, frigid"
455;"Brimwarden Ba";9440;6;1.392;1.63;"ocean";"frigid, artic"
456;"Brimwarden Si";9440;6.79;0.962;1.92;"fungus forest, verdant, lakes, plateau, swamp, sinkholes, desert";"frozen, tropical, humid, temperate, hot, superheated, windy"
457;"Aetheronix Er";1833;6.65;1.289;unknown;"ocean, rocky canyon, rocky desert, canyons, cityscape, plain";"arid, superheated, frigid, frozen"
458;"Aetheronix Liu";1833;0.84;1.072;0.92;"forest, savanna, sea, river, plateau";"artic, windy, frozen, temperate, subartic, rocky"
459;"Nyamien Liu";1360;4.81;1.029;1.67;"savanna, reef, cliff, island, ice canyon, plain, valley, hill";"windy, subartic, frigid, arid, frozen, artificial temperate"
460;"Nyamien Yi";1360;1.21;0.877;1.11;"barren";"arid, superheated, artic"
461;"Nyamien Er";1360;5.68;1.502;1.56;"fungus forest, forest, ocean, grassy hill";"subartic, temperate, superheated, windy, tropical"
